"year_id","output_me_id"
1990,2484
1995,2484
2000,2484
2005,2484
2010,2484
2015,2484
2019,2484
2020,2484
2021,2484
2022,2484
1990,2488
1995,2488
2000,2488
2005,2488
2010,2488
2015,2488
2019,2488
2020,2488
2021,2488
2022,2488
1990,2501
1995,2501
2000,2501
2005,2501
2010,2501
2015,2501
2019,2501
2020,2501
2021,2501
2022,2501
1990,2505
1995,2505
2000,2505
2005,2505
2010,2505
2015,2505
2019,2505
2020,2505
2021,2505
2022,2505
